"file","line","col","rule","msg"
"C:\Users\SELLOCP102-1\Documents\Sello-Pricing-Tool\App.tsx","293","86","no-empty","Empty block statement."
"C:\Users\SELLOCP102-1\Documents\Sello-Pricing-Tool\App.tsx","1328","97","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`."
"C:\Users\SELLOCP102-1\Documents\Sello-Pricing-Tool\components\adCampaign\AdCampaignPageContainer.tsx","208","49","react-hooks/rules-of-hooks","React Hook ""React.useState"" cannot be called inside a callback. React Hooks must be called in a React function component or a custom React Hook function."
"C:\Users\SELLOCP102-1\Documents\Sello-Pricing-Tool\components\adCampaign\AdCampaignPageContainer.tsx","1139","64","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`."
"C:\Users\SELLOCP102-1\Documents\Sello-Pricing-Tool\components\customReport\CustomReportPage.tsx","553","145","no-empty","Empty block statement."
"C:\Users\SELLOCP102-1\Documents\Sello-Pricing-Tool\components\customReport\CustomReportPage.tsx","557","145","no-empty","Empty block statement."
"C:\Users\SELLOCP102-1\Documents\Sello-Pricing-Tool\components\customReport\CustomReportPage.tsx","561","159","no-empty","Empty block statement."
"C:\Users\SELLOCP102-1\Documents\Sello-Pricing-Tool\components\customReport\CustomReportPage.tsx","565","159","no-empty","Empty block statement."
"C:\Users\SELLOCP102-1\Documents\Sello-Pricing-Tool\components\customReport\CustomReportPage.tsx","569","143","no-empty","Empty block statement."
"C:\Users\SELLOCP102-1\Documents\Sello-Pricing-Tool\components\customReport\CustomReportPage.tsx","573","149","no-empty","Empty block statement."
"C:\Users\SELLOCP102-1\Documents\Sello-Pricing-Tool\components\customReport\CustomReportPage.tsx","647","17","no-empty","Empty block statement."
"C:\Users\SELLOCP102-1\Documents\Sello-Pricing-Tool\components\definitions\hooks\useDefinitions.tsx","322","67","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`."
"C:\Users\SELLOCP102-1\Documents\Sello-Pricing-Tool\components\definitions\hooks\useDefinitions.tsx","362","79","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`."
"C:\Users\SELLOCP102-1\Documents\Sello-Pricing-Tool\components\definitions\hooks\useDefinitions.tsx","389","140","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`."
"C:\Users\SELLOCP102-1\Documents\Sello-Pricing-Tool\components\definitions\hooks\useDefinitions.tsx","389","134","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`."
"C:\Users\SELLOCP102-1\Documents\Sello-Pricing-Tool\components\definitions\hooks\useDefinitions.tsx","473","127","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`."
"C:\Users\SELLOCP102-1\Documents\Sello-Pricing-Tool\components\platformManagement\tabs\AdGroupsTab.tsx","116","13","prefer-const","'total' is never reassigned. Use 'const' instead."
"C:\Users\SELLOCP102-1\Documents\Sello-Pricing-Tool\components\platformManagement\tabs\AdGroupsTab.tsx","132","13","prefer-const","'result' is never reassigned. Use 'const' instead."
"C:\Users\SELLOCP102-1\Documents\Sello-Pricing-Tool\components\platformManagement\tabs\AdGroupsTab.tsx","282","17","prefer-const","'nextGroups' is never reassigned. Use 'const' instead."
"C:\Users\SELLOCP102-1\Documents\Sello-Pricing-Tool\components\platformManagement\tabs\AdGroupsTab.tsx","290","13","prefer-const","'nextGroups' is never reassigned. Use 'const' instead."
"C:\Users\SELLOCP102-1\Documents\Sello-Pricing-Tool\components\platformManagement\tabs\AdGroupsTab.tsx","337","63","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`."
"C:\Users\SELLOCP102-1\Documents\Sello-Pricing-Tool\components\platformManagement\tabs\AdGroupsTab.tsx","765","89","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`."
"C:\Users\SELLOCP102-1\Documents\Sello-Pricing-Tool\components\platformManagement\tabs\AdGroupsTab1.tsx","116","13","prefer-const","'total' is never reassigned. Use 'const' instead."
"C:\Users\SELLOCP102-1\Documents\Sello-Pricing-Tool\components\platformManagement\tabs\AdGroupsTab1.tsx","132","13","prefer-const","'result' is never reassigned. Use 'const' instead."
"C:\Users\SELLOCP102-1\Documents\Sello-Pricing-Tool\components\platformManagement\tabs\AdGroupsTab1.tsx","282","17","prefer-const","'nextGroups' is never reassigned. Use 'const' instead."
"C:\Users\SELLOCP102-1\Documents\Sello-Pricing-Tool\components\platformManagement\tabs\AdGroupsTab1.tsx","290","13","prefer-const","'nextGroups' is never reassigned. Use 'const' instead."
"C:\Users\SELLOCP102-1\Documents\Sello-Pricing-Tool\components\platformManagement\tabs\AdGroupsTab1.tsx","337","63","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`."
"C:\Users\SELLOCP102-1\Documents\Sello-Pricing-Tool\components\platformManagement\tabs\AdGroupsTab1.tsx","765","89","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`."
"C:\Users\SELLOCP102-1\Documents\Sello-Pricing-Tool\components\promotionManager\parts\PromoUploadModal.tsx","348","118","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`."
"C:\Users\SELLOCP102-1\Documents\Sello-Pricing-Tool\components\shared\modals\ReturnsUploadModal.tsx","204","21","prefer-const","'amt' is never reassigned. Use 'const' instead."
"C:\Users\SELLOCP102-1\Documents\Sello-Pricing-Tool\hooks\useAppState.ts","367","103","no-empty","Empty block statement."
"C:\Users\SELLOCP102-1\Documents\Sello-Pricing-Tool\hooks\useAppState.ts","811","93","no-empty","Empty block statement."
"C:\Users\SELLOCP102-1\Documents\Sello-Pricing-Tool\hooks\useAppState.ts","815","97","no-empty","Empty block statement."
"C:\Users\SELLOCP102-1\Documents\Sello-Pricing-Tool\hooks\useAppState.ts","821","98","no-empty","Empty block statement."
"C:\Users\SELLOCP102-1\Documents\Sello-Pricing-Tool\hooks\useAppState.ts","1896","110","no-empty","Empty block statement."
"C:\Users\SELLOCP102-1\Documents\Sello-Pricing-Tool\hooks\useAppState.ts","1901","112","no-empty","Empty block statement."
"C:\Users\SELLOCP102-1\Documents\Sello-Pricing-Tool\hooks\useAppState.ts","1913","106","no-empty","Empty block statement."
"C:\Users\SELLOCP102-1\Documents\Sello-Pricing-Tool\services\adCampaignService.ts","571","9","prefer-const","'dataRowStart' is never reassigned. Use 'const' instead."
"C:\Users\SELLOCP102-1\Documents\Sello-Pricing-Tool\services\adCampaignService.ts","685","67","no-useless-escape","Unnecessary escape character: \?."
"C:\Users\SELLOCP102-1\Documents\Sello-Pricing-Tool\services\bulletExtractor.ts","30","24","no-irregular-whitespace","Irregular whitespace not allowed."
"C:\Users\SELLOCP102-1\Documents\Sello-Pricing-Tool\services\bulletExtractor.ts","30","18","no-control-regex","Unexpected control character(s) in regular expression: \x00."
"C:\Users\SELLOCP102-1\Documents\Sello-Pricing-Tool\services\showcasePdfGenerator.ts","312","13","prefer-const","'py' is never reassigned. Use 'const' instead."
